64990,36990,72990,72990,74990,24990,109990,32990,72990,49990,69990,62990,40990,36990,56990,89990,64990,32990,56990,36990,89990,49990,29990,99990,23990,105980,46990,114970,72990,64990,74990,49990,24990,89990,36990,68990,79990,46990,89990,39990,59990,56990,39990,69990,39990,99990,44990,39990
72990,69990,39990,99990,39990,44990,42990,24990,39990,99990,62990,34990,56990,66990,44990,42990,46990,81980,74990,59990,52990,44990,153970,35990,49990,49990,81980,49990,44990,139990,49990,52990,54990,81980,31990,69990,99990,49990,39990,49990,81980,99990,54990,42990,52990,34990,89990,49990
54990,83990,68990,34990,49990,81980,52990,99990,79990,39990,91470,24990,52990,99990,76980,77960,113970,52990,49990,139990,54990,46990,81980,83990,99990,31990,39990,38990,51990,56990,81980,139990,49990,44990,153970,153970,81980,46990,99990,77960,49990,99990,68990,91470,89990,81980,89990,203920
46990,49990,99990,128980,42990,99990,77960,81980,153970,123970,91470,99990,52990,153970,89990,46990,64990,46990,81980,83990,68990,69990,54990,51990,99990,114970,59990,128980,82960,62990,81980,83990,46990,139990,46990,194960,46990,35990,99990,59990,79990,24990,91470,49990,46990,99990,99990,114970
81980,46990,56990,139990,109990,82960,36990,81980,91470,194960,44990,99990,46990,139990,91470,198440,49990,119990,59990,91470,89990,146450,84990,54990,72990,99990,42990,46990,146450,82960,114970,99990,35990,46990,114970,198440,99990,64990,54990,114970,76990,114970,46990,44990,99990,64990,114970,114970
82960,114970,89990,79990,171960,39990,52990,198440,54990,72990,44990,64990,146450,91470,198440,54990,109990,44990,39990,46990,198440,39990,32990,146450,62990,79990,46990,146450,39990,59990,198440,59990,49990,28990,91470,32990,24990,51990,39990,24990,62990,91470,94990,46990,54990,198440,74990,128980
42990,149940,89990,46990,69990,89990,24990,171960,91470,114970,89990,42990,24990,69990,62990,51990,89990,146450,59990,49990,24990,73970,109990,198440,69990,42990,89990,24990,146450,198440,62990,54990,24990,69990,89990,114970,146450,42990,42990,36990,59990,99990,114970,115950,69990,59990,198440,39990
146450,140940,74990,146450,59990,74990,54990,146450,32990,69990,120980,89990,198440,98990,46990,38990,49990,114970,49990,54990,81960,89990,49990,146450,42990,79990,46990,54990,39990,198440,56990,79990,59990,146450,99990,59990,62990,56990,79990,146450,89990,99990,39990,62990,91470,62990,56990,99990
91470,161970,72990,99990,54990,29990,62990,91470,39990,59990,99990,198440,140940,22990,24990,46990,99990,62990,69990,59990,64990,99990,42990,89990,49990,203920,79990,46990,42990,72990,99990,99990,99990,38990,89990,46990,46990,113970,51990,139990,48990,149940,42990,69990,140940,83990,42990,56990
49990,95960,32990,81960,153970,32990,42990,75970,153970,72990,49990,149940,46990,68990,79990,72960,105980,68990,102960,140940,54990,69990,32990,83990,84990,49990,49990,29990,76980,93960,198440,27990,129950,49990,202950,194960,99990,39990,79990,79990,69990,56990,64990,79990,64990,74990,86990,69990
